[2023-09-15 23:48:37,866] 160 numexpr.utils - INFO - NumExpr defaulting to 8 threads.
[2023-09-15 23:48:38,647] 224 werkzeug - WARNING -  * Debugger is active!
[2023-09-15 23:48:38,660] 224 werkzeug - INFO -  * Debugger PIN: 765-612-118
[2023-09-15 23:48:41,270] 70 root - INFO - Exception occured in prediction
[2023-09-15 23:48:41,270] 107 root - INFO - error in prediction pipeline
[2023-09-15 23:48:41,279] 224 werkzeug - INFO - 127.0.0.1 - - [15/Sep/2023 23:48:41] "[35m[1mPOST /predict HTTP/1.1[0m" 500 -
[2023-09-15 23:48:41,298] 224 werkzeug - INFO - 127.0.0.1 - - [15/Sep/2023 23:48:41] "[36mGET /predict?__debugger__=yes&cmd=resource&f=style.css HTTP/1.1[0m" 304 -
[2023-09-15 23:48:41,298] 224 werkzeug - INFO - 127.0.0.1 - - [15/Sep/2023 23:48:41] "[36mGET /predict?__debugger__=yes&cmd=resource&f=debugger.js HTTP/1.1[0m" 304 -
[2023-09-15 23:48:41,303] 224 werkzeug - INFO - 127.0.0.1 - - [15/Sep/2023 23:48:41] "[36mGET /predict?__debugger__=yes&cmd=resource&f=console.png HTTP/1.1[0m" 304 -
[2023-09-15 23:52:55,197] 224 werkzeug - INFO -  * Detected change in '/Users/damodargupta/Desktop/projects/WaferFaultDetection/src/components/data_transformation.py', reloading
